DOMAIN	ACCESSION	Exophiala_alcalophila	Exophiala_crusticola	Exophiala_lecanii-corni	Exophiala_mesophila	Exophiala_sideris	Exophiala_spinifera	Exophiala_viscosa	Exophiala_xenobiotica
Peptidase_M16	PF00675.25	5	5	5	5	5	5	6	5
PhoD_2	PF19050.5	3	4	3	3	1	3	2	3
Cu_amine_oxidN2	PF02727.21	5	4	5	6	4	7	7	5
Oxidored_molyb	PF00174.24	5	3	6	7	5	7	4	6
An_peroxidase	PF03098.20	3	2	4	4	2	4	3	4
Carboxyl_trans	PF01039.27	8	4	4	4	5	4	5	6
JmjC	PF02373.27	4	5	4	5	7	7	5	6
HMGL-like	PF00682.24	5	6	5	5	5	5	5	5
Redoxin	PF08534.15	5	4	5	5	6	5	7	6
FAA_hydrolase_N	PF09298.16	8	5	4	7	5	4	1	9
Mo-co_dimer	PF03404.21	5	3	6	7	5	7	4	6
MutS_V	PF00488.26	4	6	6	5	6	5	5	6
IF-2B	PF01008.22	6	3	4	4	3	5	4	5
PfkB	PF00294.29	3	5	6	6	4	5	5	4
Tyrosinase	PF00264.25	4	5	5	3	6	5	6	8
cNMP_binding	PF00027.34	4	4	4	4	2	4	4	3
Fe-ADH	PF00465.24	6	4	4	7	5	6	4	5
Acyltransferase	PF01553.26	4	5	6	6	5	5	5	6
MutS_III	PF05192.23	4	5	6	5	6	5	5	6
DUF917	PF06032.17	8	4	4	7	3	6	6	4
Bromodomain	PF00439.30	4	5	5	3	2	4	4	3
T6SS_Tle1-like_cat	PF09994.14	4	6	4	4	3	5	5	9
FA_hydroxylase	PF04116.18	5	5	5	5	5	6	5	6
Ribonuclease_3	PF00636.31	2	2	5	3	4	3	5	4
TPR_MalT	PF17874.6	1	1	4	2	3	10	6	5
DJ-1_PfpI	PF01965.29	7	2	5	2	5	9	5	6
TAXi_N	PF14543.11	4	4	2	4	7	6	8	6
RGS	PF00615.24	5	7	4	5	5	4	5	6
DUF3659	PF12396.13	0	2	0	0	1	1	0	0
DUF676	PF05057.19	4	4	4	3	4	3	5	7
HpcH_HpaI	PF03328.19	5	2	5	5	7	5	6	5
DHDPS	PF00701.27	2	2	7	4	7	8	6	5
UBA	PF00627.36	5	3	6	5	5	5	3	3
PrmA	PF06325.18	3	3	6	2	8	7	7	5
DUF917_C	PF20906.2	7	4	4	6	3	6	6	4
HSP20	PF00011.26	6	3	6	4	5	5	4	7
PAS_4	PF08448.15	4	5	4	4	4	4	4	3
MCM_lid	PF17855.6	5	4	6	6	5	5	5	4
Acyl_transf_1	PF00698.26	4	3	5	3	3	6	5	11
MCM_OB	PF17207.8	5	4	6	6	5	5	5	4
HAMP	PF00672.30	1	1	1	1	1	1	1	1
Chromo	PF00385.29	3	4	6	3	4	10	2	4
FA_desaturase	PF00487.29	3	5	5	5	6	4	7	4
Ion_trans_2	PF07885.21	2	3	2	2	3	2	3	4
DUF3431	PF11913.13	4	6	6	4	7	3	5	3
ADK	PF00406.27	3	4	5	5	4	3	4	5
DegT_DnrJ_EryC1	PF01041.22	5	5	6	5	4	6	3	6
Mg_chelatase	PF01078.26	6	4	6	6	5	5	4	4
MCM_N	PF14551.11	5	4	6	6	5	5	5	4
EthD	PF07110.16	7	2	7	5	6	4	4	3
MCM	PF00493.28	5	4	6	6	5	5	5	4
VWA	PF00092.33	6	3	6	4	6	5	5	4
AAA_23	PF13476.11	5	4	5	6	6	4	5	4
Glyco_transf_28	PF03033.25	4	5	8	4	5	6	3	4
zf-C2H2_4	PF13894.11	2	3	7	2	6	4	6	2
NIF	PF03031.23	4	5	3	5	5	5	5	5
CDP-OH_P_transf	PF01066.26	5	4	5	5	5	6	4	5
TPR_1	PF00515.33	3	3	2	3	1	4	2	5
GHMP_kinases_N	PF00288.31	4	5	4	5	5	6	5	5
4HBT_3	PF13622.11	4	5	5	6	4	6	5	4
Lipase_3	PF01764.30	3	4	7	4	4	5	6	5
HMG_box_2	PF09011.15	5	6	4	4	4	5	6	4
Hexokinase_2	PF03727.21	3	5	4	4	5	6	5	5
EryCIII-like_C	PF06722.17	4	5	6	3	5	7	3	5
Hydrolase_3	PF08282.17	6	3	5	6	5	4	4	5
Phe_hydrox_dim	PF07976.17	4	4	5	5	5	5	5	5
SNARE	PF05739.24	5	5	4	5	5	4	5	5
Glyco_transf_20	PF00982.26	4	3	5	3	5	5	6	6
HD	PF01966.27	3	2	7	3	6	4	6	7
Glyco_transf_21	PF13506.11	4	5	5	4	6	4	5	5
HGTP_anticodon	PF03129.25	5	5	5	4	5	5	5	4
DNA_ligase_A_M	PF01068.26	3	4	3	4	4	4	4	4
zf-C2H2_jaz	PF12171.13	4	3	5	5	6	5	5	5
PAS	PF00989.30	3	5	5	4	3	5	3	6
Abhydrolase_2	PF02230.21	3	4	5	4	6	4	4	5
2OG-FeII_Oxy_2	PF13532.11	4	5	3	4	6	5	6	5
Putative_PNPOx	PF01243.25	4	5	5	4	6	3	5	5
Anticodon_1	PF08264.18	5	5	5	3	4	5	5	5
MARVEL	PF01284.28	6	3	7	5	6	3	3	4
Sulfate_transp	PF00916.25	6	4	6	5	4	3	4	5
Arrestin_N	PF00339.34	5	4	5	5	4	4	4	6
G-patch	PF01585.28	6	3	5	5	5	4	5	4
Hexokinase_1	PF00349.26	3	5	4	4	5	6	5	5
PLA2_B	PF01735.23	2	3	6	4	7	2	5	5
Cytochrom_B561	PF03188.21	3	3	2	3	7	5	7	7
HhH-GPD	PF00730.30	4	5	6	5	4	4	4	5
AAA_2	PF07724.19	4	5	5	3	4	5	5	6
PBP	PF01161.25	6	3	6	4	5	6	3	4
HECT	PF00632.30	4	4	4	3	4	4	5	4
GATase_6	PF13522.11	5	5	4	3	6	3	6	5
Complex1_LYR_2	PF13233.11	6	7	4	4	3	2	5	5
Tannase	PF07519.16	2	5	2	2	6	2	9	6
Band_7	PF01145.30	5	4	5	4	4	4	5	5
MHYT	PF03707.21	2	2	2	2	2	1	2	2
Catalase-rel	PF06628.17	4	5	4	3	5	3	6	6
DUF1989	PF09347.15	3	3	4	3	5	4	5	5
3HCDH_N	PF02737.23	4	4	3	5	5	4	5	5
Glu_dehyd_C	PF16912.10	1	6	4	6	5	5	5	4
Nucleoporin_FG	PF13634.11	1	1	3	1	4	1	2	1
Exo_endo_phos2	PF22669.1	3	3	4	4	4	5	3	3
Glyoxalase_4	PF13669.11	3	5	5	5	3	6	5	2
Transketolase_C	PF02780.25	4	6	5	4	4	6	3	4
Glyco_transf_90	PF05686.17	5	3	6	3	5	4	5	4
Mannosyl_trans3	PF11051.13	3	0	5	4	4	2	5	3
DUF1295	PF06966.17	4	4	4	4	4	5	3	6
DnaJ_C	PF01556.23	5	5	5	5	5	3	3	5
FCH	PF00611.28	5	4	5	5	5	4	3	5
CRAL_TRIO	PF00650.25	5	5	5	4	4	4	3	6
Glutaredoxin	PF00462.29	4	3	5	3	5	6	4	5
Ribosomal_L7Ae	PF01248.31	4	5	5	5	3	4	4	5
G-alpha	PF00503.25	6	4	4	5	4	4	4	4
PAS_3	PF08447.17	4	5	5	3	4	5	4	5
Ketoacyl-synt_C	PF02801.27	3	3	5	2	3	5	4	10
Velvet	PF11754.13	3	4	4	4	3	3	3	5
PS_Dcarbxylase	PF02666.20	2	3	3	2	4	4	4	5
MafB19-deam	PF14437.11	4	5	4	4	5	4	4	5
EFG_III	PF14492.11	4	4	5	3	5	5	4	5
Arrestin_C	PF02752.27	4	4	4	4	5	4	5	5
zf-MYND	PF01753.23	6	4	3	3	5	3	3	8
Fer2	PF00111.32	5	2	3	4	4	6	6	5
Ferritin_2	PF13668.11	3	4	2	4	7	5	6	4
CUE	PF02845.21	3	4	4	5	6	4	5	4
AraC_binding	PF02311.24	2	7	3	3	8	4	2	4
Thi4	PF01946.22	4	6	6	6	2	5	4	1
GATase_7	PF13537.11	3	5	4	3	5	4	5	5
Methyltransf_24	PF13578.11	4	1	4	4	3	6	6	6
Esterase	PF00756.25	4	8	3	4	4	4	3	4
Fe-ADH_2	PF13685.11	3	5	4	4	4	5	4	5
Shikimate_dh_N	PF08501.16	3	3	4	3	5	8	3	5
Cupin_8	PF13621.11	4	4	4	5	4	4	5	4
Flavin_Reduct	PF01613.23	2	3	5	4	6	3	6	5
GCP_C_terminal	PF04130.18	3	4	5	4	5	3	5	5
LysM	PF01476.25	1	1	3	2	2	2	3	2
A_deaminase	PF00962.27	6	4	4	3	5	6	4	2
Prot_ATP_ID_OB_C	PF16450.10	4	5	4	4	5	4	5	3
E1_dh	PF00676.25	3	6	5	4	5	3	4	4
GPIID_WHD	PF22939.1	2	0	7	3	5	6	5	6
ACOX_C_alpha1	PF22924.1	3	1	4	7	6	3	5	5
Glyco_hydro_18	PF00704.33	4	4	6	2	6	2	4	5
IDO	PF01231.23	3	3	4	4	5	6	3	4
peroxidase	PF00141.28	5	2	4	3	3	3	3	4
4HBT_3C	PF20789.2	3	3	5	6	4	5	4	4
cobW	PF02492.24	2	5	4	4	3	5	5	4
Complex1_LYR	PF05347.20	7	7	6	3	2	2	3	4
6PF2K	PF01591.23	3	4	4	3	3	3	3	3
Rad17	PF03215.20	5	3	4	4	5	4	6	3
Cnd1	PF12717.12	4	4	4	3	5	5	5	4
DUF3405	PF11885.13	3	3	5	3	2	3	3	3
UPRTase	PF14681.11	5	3	3	6	3	6	4	3
FF	PF01846.24	1	2	2	1	2	2	2	2
Myb_DNA-bind_8	PF22980.1	3	3	4	3	5	2	7	5
DHHC	PF01529.25	6	4	4	5	3	4	3	4
Nuc_sug_transp	PF04142.20	4	4	3	3	6	3	4	4
Ion_trans	PF00520.36	1	2	2	2	3	3	1	3
CRAL_TRIO_N	PF03765.20	5	5	5	3	3	4	3	5
Glyco_transf_15	PF01793.21	4	4	4	4	4	4	4	3
UBX	PF00789.25	3	6	5	3	4	5	3	4
Adap_comp_sub	PF00928.26	4	4	4	4	4	5	4	4
Xan_ur_permease	PF00860.25	5	3	8	4	2	4	2	4
AP_endonuc_2	PF01261.29	3	3	4	5	4	7	3	4
DUF3602	PF12223.13	5	4	3	3	3	5	3	4
ILVD_EDD	PF00920.26	3	3	5	6	5	4	4	3
tRNA-synt_1b	PF00579.30	4	4	4	4	4	3	4	4
Mg_trans_NIPA	PF05653.19	3	4	3	3	4	3	4	2
Suf	PF05843.19	2	3	4	2	4	4	4	4
PI-PLC-X	PF00388.24	3	4	4	4	4	4	5	4
tRNA_anti-codon	PF01336.30	3	3	3	4	5	6	4	4
Dioxygenase_C	PF00775.26	3	3	4	6	3	5	3	5
DNA_methylase	PF00145.22	3	3	4	1	2	3	4	5
Glyco_hydro_2	PF00703.26	4	3	6	2	3	5	3	6
Tubulin_C	PF03953.22	4	4	4	4	4	4	4	4
Asp_Glu_race	PF01177.27	1	4	3	4	4	6	5	4
ACAS_N	PF16177.10	4	4	3	4	5	3	4	5
HgmA_N	PF20510.3	2	2	6	5	5	4	3	4
BBE	PF08031.17	4	4	4	5	3	5	2	5
MAPEG	PF01124.23	6	4	5	4	3	3	4	3
Tim17	PF02466.24	4	4	4	4	4	4	4	4
VWA_2	PF13519.11	4	3	4	4	5	4	5	3
Tubulin	PF00091.30	4	4	4	4	4	4	4	4
Rad60-SLD	PF11976.13	3	2	5	3	4	6	4	5
zf-CCCH_2	PF14608.11	1	1	3	4	2	3	3	1
AAT	PF03417.21	2	2	1	6	7	3	7	4
PPR	PF01535.25	3	3	2	1	3	2	3	4
MreB_Mbl	PF06723.18	5	2	5	4	3	4	5	4
IMS	PF00817.25	4	4	5	3	4	4	4	4
Hist_deacetyl	PF00850.24	3	3	6	3	5	4	4	4
Annexin	PF00191.25	1	1	1	1	1	1	1	1
MR_MLE_C	PF13378.11	4	3	5	3	4	3	3	7
Pkinase_C	PF00433.29	4	4	3	4	4	5	4	4
RWD	PF05773.27	3	4	4	4	4	3	5	4
FGGY_C	PF02782.21	3	4	4	4	4	4	4	4
Meth_synt_2	PF01717.23	4	4	4	4	3	5	3	4
Lipase_GDSL	PF00657.27	2	4	2	3	5	6	5	4
Methyltransf_3	PF01596.22	3	1	2	3	4	6	6	6
Shikimate_DH	PF01488.25	3	3	3	3	5	6	4	4
Dioxygenase_N	PF04444.19	3	3	4	5	3	5	3	5
IMS_C	PF11799.13	4	4	5	3	4	3	4	4
Sod_Fe_C	PF02777.23	3	3	3	3	3	2	3	3
RPT	PF13446.11	1	1	1	1	1	1	1	1
ATP-synt_ab	PF00006.30	4	4	4	4	3	4	4	4
BMT	PF12141.13	2	4	3	1	0	2	1	3
Dus	PF01207.22	3	3	2	3	3	2	3	3
MutS_II	PF05188.22	3	4	5	4	5	4	3	3
DUF1275	PF06912.16	6	3	3	4	3	5	3	4
CTLH	PF10607.14	4	3	4	4	4	4	4	4
Glyco_transf_22	PF03901.22	4	2	4	4	4	3	4	4
Xpo1	PF08389.17	4	4	4	4	4	4	4	3
PhoLip_ATPase_C	PF16212.10	4	4	4	4	4	3	4	4
DUF1996	PF09362.15	3	3	5	4	5	3	5	2
zf-rbx1	PF12678.12	4	3	3	3	6	3	5	4
BIM1-like_dom	PF20238.3	4	4	3	4	3	4	4	5
STAS	PF01740.26	4	4	5	4	4	3	3	4
RNase_T	PF00929.29	1	2	4	5	4	4	5	5
MELT_2	PF15402.11	0	1	1	1	1	1	0	1
bZIP_2	PF07716.20	5	3	4	3	4	4	4	3
PhoLip_ATPase_N	PF16209.10	4	4	3	4	4	3	4	4
Peptidase_C12	PF01088.26	3	4	4	3	4	4	4	4
EF-G_D2	PF22042.1	4	4	3	4	4	4	4	3
Peptidase_S28	PF05577.17	2	2	1	2	5	2	3	6
Sec1	PF00995.28	4	4	3	3	4	3	4	4
LigB	PF02900.23	4	5	2	4	6	4	2	3
Hemerythrin	PF01814.28	0	3	4	4	4	5	5	5
ZZ	PF00569.22	4	2	3	3	4	4	3	3
RasGEF_N	PF00618.25	4	4	4	3	4	4	3	4
ATP-synt_ab_N	PF02874.28	4	4	4	4	3	3	4	4
RasGEF	PF00617.24	4	4	4	3	4	4	3	4
SAM_1	PF00536.36	4	5	5	2	3	3	4	4
MBOAT	PF03062.24	4	4	2	4	4	4	4	4
2-oxoacid_dh	PF00198.28	4	5	4	4	4	3	3	3
zf-RING_5	PF14634.11	3	3	6	2	4	2	5	5
EMP24_GP25L	PF01105.29	3	4	4	3	3	3	4	4
CTP_transf_like	PF01467.31	3	4	3	3	3	3	3	3
Asn_synthase	PF00733.26	2	3	2	2	2	2	3	3
Glyco_hydro_cc	PF11790.13	3	3	3	5	4	3	4	4
Cofilin_ADF	PF00241.25	3	3	4	4	2	3	2	4
Voltage_CLC	PF00654.25	3	4	4	4	3	4	4	4
PEMT	PF04191.18	3	3	2	3	2	4	2	3
GtaA_6_Hairpin	PF16335.10	1	1	1	1	3	1	3	2
Glyco_hydro_2_N2	PF22666.1	4	3	4	2	5	3	4	4
PB1	PF00564.29	2	4	4	4	3	4	4	4
Cullin	PF00888.27	4	4	5	2	4	3	4	3
SKI	PF01202.27	3	3	4	3	4	5	3	4
Pro_CA	PF00484.24	6	2	3	3	4	3	5	3
DNA_pol_B	PF00136.26	3	4	4	4	3	3	4	4
HAD	PF12710.12	4	3	3	4	4	4	4	3
Acyl-CoA_ox_N	PF14749.11	3	1	3	6	5	3	4	4
Beta_elim_lyase	PF01212.26	3	3	4	4	4	2	4	5
PIP5K	PF01504.23	3	3	3	3	2	3	3	2
RPE65	PF03055.20	3	2	3	4	4	4	5	4
GDPD	PF03009.22	3	3	3	5	4	3	3	5
DnaJ_CXXCXGXG	PF00684.24	4	4	4	4	4	3	2	4
FGGY_N	PF00370.26	3	4	2	4	4	4	4	4
Ribosomal_L6	PF00347.28	1	2	2	2	2	2	2	2
HgmA_C	PF04209.18	2	2	6	5	4	4	2	4
Helo_like_N	PF17111.10	2	3	4	3	3	8	1	4
DUF7025	PF22942.1	2	2	5	1	5	5	5	4
Glyco_transf_34	PF05637.17	2	3	3	3	5	3	6	3
DUF3176	PF11374.13	2	4	3	0	7	2	7	4
Pkinase_fungal	PF17667.6	6	4	3	3	2	3	4	4
Synaptobrevin	PF00957.26	4	3	4	3	4	3	4	4
4HBT_2	PF13279.11	4	3	3	3	4	4	4	4
CbiA	PF01656.28	4	3	3	4	4	3	4	4
MutS_I	PF01624.25	3	4	4	3	4	4	3	4
VPS51_Exo84_N	PF08700.16	4	3	4	4	4	2	4	4
Syja_N	PF02383.23	4	4	3	4	4	4	2	3
Forkhead	PF00250.23	4	4	4	3	4	3	3	3
Lycopene_cycl	PF05834.17	4	3	1	3	4	5	3	5
AAA_18	PF13238.11	4	2	4	5	3	3	3	4
AlaDh_PNT_C	PF01262.26	2	3	5	5	4	4	2	3
HIT	PF01230.28	3	3	4	2	4	3	4	4
RasGAP	PF00616.24	3	3	3	3	3	3	3	3
ATG22	PF11700.13	3	3	4	3	2	5	3	2
MFS_2	PF13347.11	3	3	5	3	4	2	4	4
TRP	PF06011.17	2	4	4	4	3	4	3	4
CAP	PF00188.31	2	4	5	3	3	3	3	5
Mob1_phocein	PF03637.22	3	2	2	3	3	2	3	2
FMN_red	PF03358.20	3	2	3	2	3	6	4	5
DEP	PF00610.26	4	3	4	3	4	3	4	3
CENP-T_C	PF15511.11	3	4	3	4	3	4	3	4
DNA_ligase_A_N	PF04675.19	3	3	3	3	4	4	4	4
IU_nuc_hydro	PF01156.24	3	2	4	3	3	4	7	2
Steroid_dh	PF02544.21	4	3	3	4	4	3	4	3
Ribonucleas_3_3	PF14622.11	2	3	4	3	3	3	5	3
GAF	PF01590.31	1	6	3	3	4	3	4	4
MIF4G	PF02854.24	2	2	2	2	4	2	3	4
DUF2334	PF10096.14	4	4	2	5	2	3	4	4
FYVE	PF01363.26	2	3	3	3	3	3	3	3
AAA_33	PF13671.11	4	5	5	3	3	3	4	1
PPR_2	PF13041.11	3	2	3	2	3	3	3	3
ACOX	PF01756.24	3	1	3	5	5	3	4	4
HAMP_2	PF18947.5	1	1	1	1	1	1	1	1
Myosin_head	PF00063.26	4	3	4	4	3	3	3	3
Chromate_transp	PF02417.20	1	2	4	1	1	3	1	1
UBA_4	PF14555.11	2	3	4	2	5	5	4	3
PLDc	PF00614.27	2	3	3	3	1	3	2	3
NAD_binding_9	PF13454.11	4	1	5	3	2	7	3	3
Prefoldin_2	PF01920.25	4	3	4	4	3	3	4	3
Pribosyl_synth	PF14572.11	4	3	3	3	4	4	4	3
DNA_pol_B_exo1	PF03104.24	3	3	4	4	3	3	4	4
PC_rep	PF01851.27	1	2	2	2	1	1	2	2
FATC	PF02260.25	4	3	3	2	4	4	4	3
ACT	PF01842.30	3	3	3	4	4	3	4	3
GCP_N_terminal	PF17681.6	2	3	4	4	4	2	4	4
PHO4	PF01384.25	7	3	4	4	2	1	1	4
Pectate_lyase_3	PF12708.12	2	2	1	1	2	3	1	2
LPG_synthase_C	PF09924.14	2	3	3	2	4	5	4	4
Gln-synt_C	PF00120.29	3	3	3	3	4	4	4	3
Inositol_P	PF00459.30	2	3	2	2	4	6	4	4
Peptidase_M19	PF01244.26	2	4	3	2	3	4	4	4
MR_MLE_N	PF02746.21	3	3	3	3	4	3	3	5
DUF1776	PF08643.15	3	3	2	4	4	2	3	6
Y_phosphatase3	PF13350.11	3	4	4	3	3	3	3	3
Thioredoxin_2	PF13098.11	3	3	3	2	3	2	3	3
LisH	PF08513.16	4	2	2	4	4	3	4	4
Sec63	PF02889.21	2	3	2	2	2	3	2	3
Brix	PF04427.23	3	2	5	5	4	3	3	2
SnoaL_2	PF12680.12	5	2	4	4	4	3	3	2
MMS1_N	PF10433.14	4	3	3	3	4	4	3	3
Hexapep	PF00132.29	2	2	2	2	5	5	4	2
SGSH_C	PF16347.10	3	2	1	2	6	4	4	5
TRP_N	PF14558.11	2	3	4	3	3	4	3	4
tRNA-synt_2d	PF01409.25	2	2	2	2	3	3	2	3
HCO3_cotransp	PF00955.26	1	2	2	2	2	1	1	2
Gelsolin	PF00626.27	3	3	3	3	4	4	3	3
PAH	PF02671.26	1	1	3	1	1	1	1	1
Peptidase_M1	PF01433.25	3	3	3	3	3	4	3	4
Glyco_hydro_72	PF03198.19	1	3	4	4	3	4	3	4
Gal_mutarotas_2	PF13802.11	4	2	5	3	2	4	2	4
RPEL	PF02755.20	1	1	2	1	1	1	1	2
UBM	PF14377.11	1	1	1	1	1	2	1	1
AA_kinase	PF00696.33	4	2	3	3	4	2	4	4
DcpS_C	PF11969.13	2	2	5	3	3	3	3	4
RNA_pol_L	PF01193.29	3	3	4	3	4	3	3	3
Ldh_1_C	PF02866.23	4	4	3	3	3	3	3	3
Ldh_1_N	PF00056.28	4	4	3	3	3	3	3	3
eIF2A	PF08662.16	3	2	4	3	4	3	5	2
Homeobox_KN	PF05920.16	4	3	2	2	3	6	2	4
Lactamase_B_3	PF13483.11	2	4	3	3	3	3	4	4
Bac_rhodopsin	PF01036.23	2	3	3	2	4	3	5	4
VHS	PF00790.24	3	3	4	4	3	3	3	3
Homeodomain	PF00046.34	4	3	2	3	3	5	3	3
Cupin_3	PF05899.17	1	4	2	4	3	3	3	1
DUF4217	PF13959.11	3	3	3	3	4	3	3	4
Hydantoinase_B	PF02538.19	3	1	2	4	4	4	4	4
CID	PF04818.18	3	4	4	1	4	4	3	3
PEX11	PF05648.19	3	3	3	3	3	2	3	3
SMC_hinge	PF06470.18	3	3	4	3	3	3	4	3
Anp1	PF03452.19	3	3	4	4	3	3	3	2
Thiolase_C_1	PF22691.1	6	3	2	6	3	2	2	2
PLDc_2	PF13091.11	3	2	3	3	2	5	3	5
Rhomboid	PF01694.27	4	4	3	3	3	3	3	3
CoA_binding	PF02629.24	3	4	3	3	3	3	3	4
Peptidase_M1_N	PF17900.6	3	3	3	3	3	4	3	4
Glyco_transf_8	PF01501.25	2	5	3	3	3	3	4	3
GHMP_kinases_C	PF08544.18	3	3	2	3	4	4	3	3
DNA_pol3_delta2	PF13177.11	4	3	3	3	3	2	3	4
DUF6604	PF20253.3	3	4	3	1	5	1	4	4
polyprenyl_synt	PF00348.22	3	3	3	3	3	3	3	3
TPR_14	PF13428.11	1	2	3	3	3	4	3	2
DUF155	PF02582.19	3	3	3	3	3	3	3	3
RNB	PF00773.24	3	2	3	2	3	3	3	3
ArfGap	PF01412.23	3	4	5	3	2	3	2	3
PA	PF02225.27	4	2	3	4	3	3	3	3
XPG_I	PF00867.23	3	3	3	2	4	3	4	3
Pyr_redox_dim	PF02852.27	3	1	3	3	4	4	3	4
UDPGT	PF00201.23	4	4	4	1	3	4	1	4
MGH1-like_GH	PF22422.1	3	2	3	3	4	3	3	4
Glyco_hydro_17	PF00332.23	3	5	3	3	3	3	1	4
CAP59_mtransfer	PF11735.13	4	3	3	1	3	3	3	4
Mannosidase_ig	PF17786.6	3	2	3	2	5	3	4	3
CAP_GLY	PF01302.30	2	3	3	3	4	3	4	3
Vps62	PF06101.16	4	2	3	3	2	4	4	3
Nitroreductase	PF00881.29	2	2	4	2	3	5	3	4
Pribosyltran_N	PF13793.11	4	3	3	2	3	4	3	3
Aldose_epim	PF01263.25	3	3	3	3	3	3	3	4
Questin_oxidase	PF14027.11	2	4	3	4	3	2	2	4
ANAPC3	PF12895.12	4	3	3	3	2	2	4	3
RNA_pol_Rpb2_1	PF04563.20	3	3	3	3	3	3	3	3
BCDHK_Adom3	PF10436.14	3	3	3	3	3	3	3	3
FeoB_N	PF02421.23	4	4	2	4	2	3	1	4
PhzC-PhzF	PF02567.21	3	2	4	3	3	2	3	3
PMT	PF02366.23	3	3	3	3	3	3	3	3
NAD_kinase_C	PF20143.4	3	3	3	3	3	3	3	3
Hydrolase_6	PF13344.11	3	3	3	3	3	3	3	3
ParA	PF10609.14	3	2	3	3	3	2	3	3
RNA_pol_Rpb2_3	PF04565.21	3	3	3	3	3	3	3	3
RNA_pol_Rpb2_7	PF04560.25	3	3	3	3	3	3	3	3
Kelch_2	PF07646.20	2	2	3	1	5	2	4	3
Alpha_adaptinC2	PF02883.25	3	3	3	3	3	3	3	3
DUF2427	PF10348.14	2	2	3	2	4	4	4	3
V-SNARE_C	PF12352.13	3	3	3	3	3	3	3	3
Chitin_synth_1N	PF08407.16	3	3	3	3	3	3	3	3
Rep_fac_C	PF08542.16	3	3	3	3	3	3	3	3
Dabb	PF07876.17	2	1	3	3	3	5	4	3
ATP-synt_VA_C	PF22919.1	3	3	3	3	3	3	3	3
Formyl_trans_N	PF00551.24	3	3	3	3	3	3	3	3
MOR2-PAG1_mid	PF14228.11	1	1	1	1	1	1	1	1
Asparaginase_2	PF01112.23	2	2	2	2	2	2	2	2
TAF	PF02969.22	3	3	3	3	3	3	3	3
CAF1	PF04857.25	2	2	2	2	2	2	1	2
Chitin_synth_1	PF01644.22	3	3	3	3	3	3	3	3
RNA_pol_Rpb2_6	PF00562.33	3	3	3	3	3	3	3	3
Citrate_synt	PF00285.26	3	3	3	3	3	3	3	3
CS	PF04969.21	3	2	3	4	3	2	3	4
MTPAP-like_central	PF22600.1	4	2	2	2	4	2	4	4
PMT_4TMC	PF16192.10	3	3	3	3	3	3	3	3
HATPase_c_3	PF13589.11	4	2	4	3	3	2	4	2
NAD_kinase	PF01513.26	3	3	3	3	3	3	3	3
Met_10	PF02475.21	2	3	2	3	3	2	3	5
PGM_PMM_I	PF02878.21	2	2	2	2	3	2	2	2
RNA_pol_Rpb2_2	PF04561.19	3	3	3	3	3	3	3	3
ACT_7	PF13840.11	4	2	2	2	4	3	3	4
MIR	PF02815.24	3	3	3	3	3	3	3	3
GRAM	PF02893.25	1	3	2	1	2	3	3	2
SQS_PSY	PF00494.24	3	3	3	3	3	3	3	3
EFG_IV	PF03764.23	3	3	3	3	3	3	3	3
SNO	PF01174.24	2	2	2	2	2	1	2	2
UDPG_MGDP_dh_N	PF03721.19	2	3	2	2	2	2	4	4
Ribosomal_L1	PF00687.26	3	3	3	2	3	3	3	3
U-box	PF04564.20	3	3	3	3	3	3	2	3
MoCF_biosynth	PF00994.29	1	3	2	1	3	2	3	2
ING	PF12998.12	1	3	3	2	2	2	2	2
HDA2-3	PF11496.13	3	2	4	3	1	4	3	3
Peptidase_C2	PF00648.26	2	3	2	3	3	3	2	1
Semialdhyde_dh	PF01118.29	3	3	3	3	4	1	4	2
NTP_transferase	PF00483.28	4	2	3	2	3	3	3	3
LtrA	PF06772.16	2	1	4	3	2	3	3	5
APP1_cat	PF09949.14	3	3	3	2	3	3	3	3
3HCDH	PF00725.27	2	3	3	3	3	3	3	3
Sulfotransfer_4	PF17784.6	3	4	0	0	4	3	4	5
Glyco_hydro_32N	PF00251.25	5	3	1	4	2	4	2	2
FAD_binding_7	PF03441.19	2	2	3	4	3	3	3	3
E3_binding	PF02817.22	4	4	3	3	3	2	2	2
DDHD	PF02862.22	2	2	2	2	2	1	2	2
Sec23_helical	PF04815.20	3	2	3	3	3	3	3	3
OTU	PF02338.24	2	3	3	3	3	3	3	3
Histidinol_dh	PF00815.25	2	4	3	3	4	2	3	2
DUF3237	PF11578.13	2	1	5	2	3	2	4	4
NDH2_C	PF22366.1	3	2	3	3	3	3	3	3
GAT	PF03127.19	2	3	3	3	3	3	3	3
PA14	PF07691.17	2	3	6	2	2	5	1	2
Mem_trans	PF03547.23	2	2	3	2	3	3	2	5
Ran_BP1	PF00638.23	2	3	3	2	2	2	2	2
Tc-R-P	PF22785.1	3	3	3	2	3	3	3	3
PTR2	PF00854.26	5	1	3	3	1	5	3	2
Vps5	PF09325.15	3	2	3	3	3	3	3	3
Sec23_trunk	PF04811.20	3	2	3	3	3	3	3	3
tRNA-synt_1c	PF00749.26	3	3	3	2	3	3	3	3
AnmK	PF03702.19	1	1	2	1	4	3	3	7
Lactonase	PF10282.14	2	4	3	4	3	3	2	2
Fer4	PF00037.32	2	2	2	1	2	2	2	2
